path,symbol_or_asset,sha256,static_reference_evidence,dynamic_reference_risk,pubspec_coverage,replacement_or_primary_route,classification,notes
assets/images/effects/weapon_effects_atlas_64.png,WeaponEffectAtlas,F7FB6D0122B8A90CF3CC4C50999E5D8AFBCEE2D3F190B78CFFC5381B9E009680,"asset_catalog.dart; weapon_effect_atlas.dart; melee/projectile/area components",high,assets/images/effects/,registry VFX plus legacy non-Hwando weapon frames,keep,"Still supplies wind-thunder arc, legacy projectile, and bomb frames; not safe to delete."
assets/images/effects/combat_effects_atlas_64.png,CombatEffectAtlas,8C8C70750F39547D827C3716B5212C76209A3171877778CFA244AF4D03BA4F3E,"asset_catalog.dart; combat_effect_atlas.dart; pickups; boss warning; lobby temporary background",high,assets/images/effects/,dedicated UI background and pickup/status art,keep,"Runtime critical and temporarily reused by the lobby."
assets/images/effects/hwando_slash_effect_64.png,Removed stale AssetCatalog key,MISSING,docs/assets/pixel-art-prompts.md,low,assets/images/effects/,assets/images/vfx/hwando_*_128.png,safe-delete,"Absent file; stale runtime catalog metadata removed after content-integrity coverage. Historical prompt documentation retained."
assets/images/effects/healing_item_16.png,Removed stale AssetCatalog key,MISSING,docs/assets/pixel-art-prompts.md,low,assets/images/effects/,none,safe-delete,"Absent file; stale runtime catalog metadata removed after content-integrity coverage. Historical prompt documentation retained."
lib/game/components/hwando_vfx_component.dart,HwandoVfxComponent,,attack_visual_registry.dart and pixel_survivor_game.dart,low,n/a,eight authored trail/impact sheets,keep,"Normal Hwando path is fully image-backed; no Canvas slash geometry exists here."
lib/game/components/attack_effect_component.dart,AttackEffectComponent.render,,pixel_survivor_game.dart:_spawnAttackEffect MissingAttackVisualException fallback,medium,n/a,AttackVisualRegistry,defer,"Path/circle/line development fallback only; assertion rejects registered Hwando category. Remove only after registry completeness is fail-closed."
lib/game/components/melee_arc_component.dart,MeleeArcComponent.render,,weapon_system.dart and pixel_survivor_game.dart:786-789,medium,n/a,WeaponEffectAtlas sprite,keep,"Non-Hwando melee is image-backed in normal play; drawArc is missing-image fallback."
lib/game/components/projectile_component.dart,ProjectileComponent.render,,pixel_survivor_game.dart:_admitProjectile,medium,n/a,registry Singijeon or WeaponEffectAtlas,keep,"Oval is missing-image fallback; normal player projectile routes are image-connected."
lib/game/components/enemy_projectile_component.dart,EnemyProjectileComponent.render,,pixel_survivor_game.dart:_resolveEnemyActions,medium,n/a,sakkat_spirit_projectile_128 registry sprite,keep,"Oval is missing-image fallback."
lib/game/components/area_attack_component.dart,AreaAttackComponent.render,,weapon_system.dart and boss_component.dart,high,n/a,WeaponEffectAtlas bomb and CombatEffectAtlas boss warning,defer,"Thunder bomb and boss warning are image-backed; boss post-trigger circle/sector remains primary geometry and needs a dedicated impact sheet."
lib/game/components/combat_effect_component.dart,CombatEffectComponent.render,,pixel_survivor_game.dart:_spawnCombatEffect,medium,n/a,CombatEffectAtlas,keep,"Circle is asset-load fallback only."
lib/game/components/enemy_hazard_component.dart,EnemyHazardComponent.render,,pixel_survivor_game.dart poison/shockwave/scream paths,medium,n/a,enemy hazard registry sheets,keep,"Circle is asset-load fallback only."
lib/game/components/enemy_combat_overlay_component.dart,EnemyWarningOverlayComponent and ShieldBlockEffectComponent,,enemy spawn/action presentation,medium,n/a,line/ranged/radial telegraph and shield flash sheets,keep,"Normal route is image-backed; line/circle/arc geometry is an accessibility-safe fallback."
lib/game/components/frost_field_component.dart,FrostFieldComponent.render,,weapon_system.dart and pixel_survivor_game.dart,medium,n/a,frost_field_128 registry sprite,keep,"Circles are missing-image fallback."
lib/game/components/five_color_ward_component.dart,FiveColorWardComponent.render,,weapon_system.dart and pixel_survivor_game.dart,medium,n/a,talisman_ward_128 registry sprite,keep,"Arc/circles are missing-image fallback."
lib/game/components/ward_aura_component.dart,WardAuraComponent.render,,pixel_survivor_game.dart:_ensureWardAura,medium,n/a,jangseung_ward_128 registry sprite,keep,"Ring geometry is missing-image fallback and retains readable radius information."
lib/game/components/talisman_presentation_component.dart,TalismanAttachmentComponent and TalismanTransferCueComponent,,pixel_survivor_game.dart:_syncTalismanPresentation,medium,n/a,talisman attachment/transfer registry sheets,keep,"Paper/line/circle geometry is missing-image fallback."
lib/game/components/experience_gem_component.dart,ExperienceGemComponent.render,,pixel_survivor_game.dart pickup paths,medium,n/a,CombatEffectAtlas experience row,keep,"Circles are missing-image fallback."
lib/game/components/spirit_jade_component.dart,SpiritJadeComponent.render,,pixel_survivor_game.dart boss reward paths,medium,n/a,dedicated spirit-jade pickup sheet,temporary-image,"Currently reuses the experience sprite and always adds a geometric diamond outline; replace with dedicated jade frames."
lib/game/components/player_component.dart,PlayerComponent.render,,game construction,medium,n/a,rookie_constable_player_32.png,keep,"Circle body is safe missing-asset fallback."
lib/game/components/enemy_component.dart,EnemyComponent.render,,all enemy definitions,medium,n/a,enemy sprite sheets,keep,"Hat/body/arc geometry is safe missing-asset and debug fallback."
lib/game/vfx_gallery_game.dart,_GalleryGuideComponent.render,,debug-only VFX gallery,none,n/a,n/a,auxiliary-geometry-allowed,"Guide circle, box, and crosshair intentionally explain bounds/direction; not production art."
assets/images/tiles/moonlit_office_tiles_128.png,moonlit_office tiles,F8C374C409DC3330810E71707EA3D6745D9827C203B022848F99125C2CFF71F4,stage_visual_spec.dart,high,assets/images/tiles/,StageTileBatchComponent,keep,"Generated and batched stage art."
assets/images/tiles/plague_market_tiles_128.png,plague_market tiles,7F82074B361BD9F945A090A66D6F2C3F24166E6C27D9627441E3227DEA8AB113,stage_visual_spec.dart,high,assets/images/tiles/,StageTileBatchComponent,keep,"Generated and batched stage art."
assets/images/props/moonlit_office_props_128.png,moonlit_office props,813EA7C0ED5C196881E6F5022812459DE39852185FF4F6861E53EB0EAE777000,stage_visual_spec.dart,high,assets/images/props/,StageTileBatchComponent,keep,"Generated and batched stage art."
assets/images/props/plague_market_props_128.png,plague_market props,F950AB2034F88CCCE89102283D1E5786AF675B05FB9876D3EC4BFBA88D40A5A3,stage_visual_spec.dart,high,assets/images/props/,StageTileBatchComponent,keep,"Generated and batched stage art."
assets/images/monsters/fallen_general_64.png,fallen_general/plague_magistrate/masked_executioner,237680964DAAD4DCDABCB52A56CE10CC2736F80FC835698CF98FEEA1CA50A76,asset_catalog.dart:38-40,high,assets/images/monsters/,unique boss sheets,defer,"Image-backed but duplicated for three boss IDs; not a geometry gap and not safe to delete."
