asset_id,runtime_path,category,acquisition_method,creator_or_vendor,provider_product_model,created_or_purchased_at,source_url,terms_or_license_name,terms_checked_at,evidence_path,source_file_sha256,prompt_path,input_rights_confirmed,human_edits,similarity_reviewed,trademark_reviewed,credit_required,credit_text,status,reviewer,reviewed_at,notes
exorcist_swordswoman_static_player,assets/images/player/exorcist_swordswoman_static_64.png,player_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-19,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-19,docs/assets/prompts/exorcist-swordswoman-static-player.md,8C39A9FD847EA9373FF0F24FD8ABDC376AE2D33ABDE7F5A4CA41E172CF59EF68,docs/assets/prompts/exorcist-swordswoman-static-player.md,true,chroma-key removal and proportional 64x64 RGBA normalization,true,true,false,,approved,Codex,2026-07-19,runtime-sha256=A3878148F05B966A2B18F004826B5B506872C5D5FDA11B2EC96D8C4D3F9AD80E
rookie_constable_player_animation,assets/images/player/rookie_constable_player_32.png,player_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/rookie-constable-player-sheet.md,596CF60C55ACBAF6D8E20BE360335964D7750B915897A0DC31CBC7158AD3A02B,docs/assets/prompts/rookie-constable-player-sheet.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=191F755810DC416C99667D6C980E7A4B196131543C7D014298A55DE335CFDD1B
plague_rat_swarm_animation,assets/images/monsters/plague_rat_swarm_24.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,E9B09D66F762D62CF3F8AF0B785A728D4BD582C015434DEAA071D6558B6744AD,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=45ACE858C760117F85FFC786B375F363114E92C4BA5A4C6542C114479F0276D4
bandit_animation,assets/images/monsters/bandit_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,870846BFB6D76D6ED89B9D3563404E541475941B823B5868130743F23DFBCD83,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=B2650CDAD76962CCE5994167A1F93BA4440E02D0BE258E2B63DDF46B99046871
dokkaebi_animation,assets/images/monsters/dokkaebi_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,BC928B37D56C644FFB7DA340B7AE93E7B8FC72FBBE8BA140A7633F5B091BAD79,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=5118328DE5EBC665D5F1B42418FAF1F5DE0F8C5B60C3BD17CA336D4026F6E665
vengeful_spirit_animation,assets/images/monsters/vengeful_spirit_32.png,enemy_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/normal-enemy-sheets.md,BE4D5EC34D94569C118711A87913CFD2D67B5B2584EED20585FE11039E146472,docs/assets/prompts/normal-enemy-sheets.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=F0D91CCD8461DBA3090E33F3D004EC1F73CCED8E31B2DB9D8B04CDC11ADF0246
fallen_general_animation,assets/images/monsters/fallen_general_64.png,boss_sprite,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/fallen-general-boss-sheet.md,0AD26860047A09DD0E769E4FE88F03129D0F9C88D9547301581E8D340DE6A3E4,docs/assets/prompts/fallen-general-boss-sheet.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=237680964DAAD4DCDABCB52A56CE10CC2736F80FC835698CF98FEEA1CA50A76F
weapon_effects_atlas,assets/images/effects/weapon_effects_atlas_64.png,weapon_effect,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/weapon-effects-atlas.md,4B94ACD48A9D2215875635F93CA6EEBB7D68DBF7395FDA6F535BAE46E260E53E,docs/assets/prompts/weapon-effects-atlas.md,true,chroma-key removal and nearest-neighbor 4x4 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=F7FB6D0122B8A90CF3CC4C50999E5D8AFBCEE2D3F190B78CFFC5381B9E009680
combat_effects_atlas,assets/images/effects/combat_effects_atlas_64.png,combat_effect,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-15,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-15,docs/assets/prompts/combat-effects-atlas.md,6CB40B41682EA871042B378878C7E68FBE9CDA522F89728AECDE7D504F809154,docs/assets/prompts/combat-effects-atlas.md,true,chroma-key removal and nearest-neighbor 4x5 normalization,true,true,false,,approved,Codex,2026-07-15,runtime-sha256=8C8C70750F39547D827C3716B5212C76209A3171877778CFA244AF4D03BA4F3E
hwando_slash_trail_128,assets/images/vfx/hwando_slash_trail_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,4D20CDA0E8C6F348172624E5B34EC3E0BB0DD0B3198C643E972E916004709102,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_slash_trail_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=4BA6E089729EDF31A2D38AA5B165E5A9F2BB94AA8DD414C098BAF14BD13B1A2D
hwando_slash_impact_128,assets/images/vfx/hwando_slash_impact_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,1E1B349ED38BA88932BBBFE80EC5000807D9997885FA1A683898EBFEADF34B2C,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_slash_impact_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=BE4CBD626112884EFD82BE09AB47403A2BD2D5E9C20D9549FCB810AAE9271358
hwando_blade_wave_trail_128,assets/images/vfx/hwando_blade_wave_trail_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,033C344349D2799D409D7D2D4F4D19C2E4C00B731892F1562DEF824B7F8FB391,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_blade_wave_trail_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=32C5181E8AC68C145028DD706157E957E3946E46B37A2D14FE2574BA3FD3B1E8
hwando_blade_wave_impact_128,assets/images/vfx/hwando_blade_wave_impact_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,F834944CD4ECF513C8C14682C0C84C37AE225360BF3E472AC1A3F13B2FE89CFB,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_blade_wave_impact_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=75E24152446343B55C360CAA38A7F073786AFA0849DA34701E465F4383165AD8
hwando_master_circle_trail_128,assets/images/vfx/hwando_master_circle_trail_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,B0F3C3F2986BC44C2D733CD908F538EBADF3A59DEC3E0A359DBD4E3FCC7947F9,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_master_circle_trail_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=2C4A40F4C763A157CB01460710891B29406D66B1E71C7573F950316D554C7B30
hwando_master_circle_impact_128,assets/images/vfx/hwando_master_circle_impact_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,256E6B8866B9DF5B73039E9451BF93749A233AFDF98EC5DCD8D3B32F51A72794,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_master_circle_impact_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=FAE07FDE5570503E8E2748E166BB3E2A166B4439782265D95B8B6F3238C36B20
hwando_master_finisher_trail_128,assets/images/vfx/hwando_master_finisher_trail_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,28BDB4E44295169120635359F324681A9C7B82F8F1D18DD14EA816B19A078C1E,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_master_finisher_trail_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=F8B292D24835C279919D299B55DA74721A408ACA7C1CBF1CA0594778BC55B14B
hwando_master_finisher_impact_128,assets/images/vfx/hwando_master_finisher_impact_128.png,weapon_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,docs/assets/prompts/hwando-vfx-sheets.md,85ADA7B58EE8146F23333ED3686700B33AD69187EC89552B5102DF6E158B1363,docs/assets/prompts/hwando-vfx-sheets.md,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/hwando/hwando_master_finisher_impact_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=71B82FFD008D13C6BD10025E3695FCBB52C2AD8729063AB6669BE069C4D4A10D
sealing_slash_128,assets/images/vfx/player/sealing_slash_128.png,player_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/sealing_slash_source.png,8489F18F29D0FFA7718740F913F357F27F360D38D71B2F6FAB688E6C4252249C,art_source/generated/player_vfx/sealing_slash_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/sealing_slash_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=B82F3541F2B4FDD78F70BEC746A4DAD66AA28B89D79FBFB284BEAEFD5E23921A
wind_thunder_fan_128,assets/images/vfx/player/wind_thunder_fan_128.png,player_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/wind_thunder_fan_source.png,FD13655DFE576C3C5A288F3428A44B128ECD9958C7F8DA7823ACCD4B36815298,art_source/generated/player_vfx/wind_thunder_fan_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/wind_thunder_fan_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=5F5D263BCC3FEF8C78C950D3F195A69C45B5C080C0EB7F09D83C68F90EAB4629
singijeon_128,assets/images/projectiles/player/singijeon_128.png,player_projectile,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/singijeon_source.png,D74B7E0ADC1FCC4B3C6591C0905A92D446EF132D09876A33FFAA29BF4062492B,art_source/generated/player_vfx/singijeon_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/singijeon_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=70F35C0E4AC6C959CF2913E1F6A8DB8DBECD4BBA1565F1FCADA4329A64F3931E
jangseung_ward_128,assets/images/zones/player/jangseung_ward_128.png,player_zone,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/jangseung_ward_source.png,06FA239621BE14DA3D39D27E94DCF607EFD05333C2758B523F03F98BD7636321,art_source/generated/player_vfx/jangseung_ward_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/jangseung_ward_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=A98D7D872B8B76DA921353DB26D942D0675947E6956D66F82E2A9EC0EDC0F733
frost_field_128,assets/images/zones/player/frost_field_128.png,player_zone,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/frost_field_source.png,D44C607209A3DEA91E5AEC9D130E275F28BB347891AC5F1162C3A243FB8BECF9,art_source/generated/player_vfx/frost_field_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/frost_field_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=18F3793EBEC841ED46B7708778389CAE2A2967772B0796D8108D9BD6DD50E201
talisman_attachment_128,assets/images/vfx/player/talisman_attachment_128.png,player_status_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/talisman_attachment_source.png,1B0F3E9088F0F305A38F13EFE88DE658FA5A3CEA2100EC15499FB7BE8A705586,art_source/generated/player_vfx/talisman_attachment_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/talisman_attachment_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=8D4F2A2EC3BAFF6B3925A9C47E67784EB1989697B04EB0CE3C9B95A0EC6B2B23
talisman_transfer_128,assets/images/vfx/player/talisman_transfer_128.png,player_status_vfx,ai_generated,OpenAI,OpenAI built-in image generation model-id-not-exposed,2026-07-23,https://openai.com/policies/terms-of-use/,OpenAI Terms of Use,2026-07-23,art_source/generated/player_vfx/talisman_transfer_source.png,E5C13F017D1F077AE9588943DE0B6C960950856653417F9AC52AABF8F0EA6129,art_source/generated/player_vfx/talisman_transfer_source.png,true,chroma-key removal and proportional 128px-cell RGBA normalization,true,true,false,,review,Codex,2026-07-23,generated-original source=art_source/generated/player_vfx/talisman_transfer_source.png; tool=built-in image generation plus remove_chroma_key.py; runtime owner=AttackVisualRegistry; runtime status=temporary; runtime-sha256=70C349BC3C8C02FB85305125BFD334A952F3D25755BB6FF4AC4D68DD0D0366BF
